"","PC1","PC2","PC3","spec$C"
"1",-42.2606682034919,-16.5742920259476,-3.37179235673332,1.2
"2",-62.5006628189007,-4.55180903022053,-5.85638083123291,1.02
"3",-27.8589281193941,-2.29595331359968,-1.40087684501416,2.8
"4",-50.5987501798299,-4.81618372745131,1.54664301916383,2.78
"5",1.16280891545528,3.6017777126045,5.86337914492677,2.72
"6",-37.8916080470182,9.67980265976447,-3.94392509611388,2.59
"7",-71.9718867301668,2.98483634790113,-3.05634455646749,0.61
"8",-46.9316130832606,6.78789850082946,4.0171798991264,0.97
"9",-16.8600491840308,-1.44033265408696,0.187556065736561,0.74
"10",-14.7644670209664,-1.23882938557102,4.84155218506126,0.66
"11",38.828003050733,10.03374329099,1.07567373990831,1.53
"12",10.287140094776,3.09762980101434,3.29145070852938,2.54
"13",-27.6986255252655,-5.67366080272194,-0.290649507556938,1
"14",-30.1135646027324,6.74829125163969,-0.20210640509502,0.98
"15",22.6870817630817,27.5089068311192,0.0584307610455351,4.09
"16",26.6246239615448,6.7750136760781,-3.23561876412617,0.87
"17",26.0576772124654,9.76711092437477,0.697096761597019,2.26
"18",18.1152263068509,11.6529554577856,-4.86039584350198,3.79
"20",-17.5461165795467,-15.8275988608695,-1.88662178113171,1.09
"21",25.0568418869563,8.8036809904568,-2.64454016728921,2.62
"22",14.1775653511765,31.3114109253972,-6.38799879417406,3.01
"23",-51.2584379251988,-11.0405447221802,-5.46117971201308,0.93
"24",-18.8746901762837,-30.2103163319751,-1.76460573778565,1.12
"25",26.5697776281794,0.850581577256104,5.05906390900417,1.06
"26",27.855379139767,1.0039522117758,5.87407138648765,1.42
"27",28.5352314447568,-1.21246808938911,-0.731407667891799,1.99
"28",34.3233128159448,25.1792570702167,-6.56513094147388,4.61
"29",95.8545099223282,-14.4036964303058,-0.587385185512064,1.65
"30",42.4637385530529,16.3932895842524,-1.56531952604408,2.15
"31",27.0807257025681,4.93659764215554,3.15100119163613,1.66
"32",11.3482908020216,6.02421564198774,3.53862697593844,1.56
"33",23.2578080556733,-0.950698039164085,4.81056420142498,1.94
"34",3.94226080570902,-9.1717137085968,2.16044089197842,1.01
"35",-21.0534155747122,4.08170467123657,5.58294942621968,0.76
"36",-27.6609526792461,16.6202493360396,4.21387073884127,0.69
"37",107.632345796655,-15.9729231886259,3.98067198075686,2.02
"38",-27.335114564747,5.87414883370966,-12.3313794136194,2.76
"39",-37.1082650418237,24.4368040629695,10.1041872989455,0.72
"40",-42.0366725542061,19.2323353642028,7.23090400576478,0.69
"41",-25.4452178347131,-12.4907674922085,-6.06511220882198,3.58
"42",-6.72739392055643,-27.8969943138016,-11.5696777585447,3.43
"43",-35.7509523506576,15.323835449156,3.92131879420625,0.68
"44",-6.79717765833606,11.0133977247104,4.4786271367828,0.64
"45",-17.5451361028425,-17.4354077964207,-10.0884342772963,2.61
"46",-38.1597533840173,-8.49913573136601,-3.87174415471791,3.09
"47",18.3280187857842,14.166555981002,12.0244642146554,0.82
"48",-2.09636170581632,18.028837795952,9.39533234912114,0.8
"49",34.3247171882149,-30.1641220962439,20.8319178293063,0.93
"50",61.4353791941964,-36.9946062680854,15.8789610997859,0.42
"51",-45.0479964323118,-5.44767609898648,-5.37864086136017,0.41
"52",-54.1668677202409,-6.99537080432866,-4.65067647100065,0.72
"53",153.163897457349,9.20710339864321,-31.5948618777118,2.8
"54",75.2850383797653,-17.3333688434349,-0.36222032339275,1.89
"55",-18.4016080560013,2.43870663078417,-0.82234158298951,0.87
"56",-6.50046161006423,-2.73339705138361,-0.694578356495058,0.91
"57",20.2108773452029,31.1188495629272,9.02990023250812,3.11
"58",-19.500278949361,-14.5430776179968,-2.82805163265529,2.59
"59",-19.257073969061,-19.6320577231439,-1.22174206953127,1.07
"60",-38.3686482203118,-22.8707325933373,-4.95257013445211,1.12
"61",83.1065618132942,13.701934835602,-0.197516287582937,2.99
"62",32.3739252034379,-14.1090507608731,9.62253378800322,1.81
"63",-15.5274430758725,-12.0891913610157,-0.254909627957955,1.05
"64",-11.7619075261669,-17.432878611845,-0.962996101930529,1.03
"65",27.0524725764202,-5.00538392227087,-2.21894805853792,4.19
"66",-66.5704388084233,20.1980930723936,-9.53150809365373,5.82
"67",7.40488369446245,8.50454089683402,6.89184091568002,0.71
"68",10.6939735057693,-6.91383335564267,-5.57604510753435,0.68
